Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.066: [GC (Allocation Failure) 0.066: [DefNew: 384K->64K(448K), 0.0008903 secs] 384K->250K(1048512K), 0.0009717 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.086: [GC (Allocation Failure) 0.086: [DefNew: 448K->62K(448K), 0.0006506 secs] 634K->311K(1048512K), 0.0006996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.105: [GC (Allocation Failure) 0.105: [DefNew: 446K->64K(448K), 0.0006683 secs] 695K->402K(1048512K), 0.0007053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.118: [GC (Allocation Failure) 0.118: [DefNew: 448K->46K(448K), 0.0005034 secs] 786K->424K(1048512K), 0.0005612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.127: [GC (Allocation Failure) 0.127: [DefNew: 430K->64K(448K), 0.0007008 secs] 807K->575K(1048512K), 0.0007484 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.138: [GC (Allocation Failure) 0.138: [DefNew: 448K->63K(448K), 0.0006106 secs] 959K->909K(1048512K), 0.0006580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.145: [GC (Allocation Failure) 0.145: [DefNew: 447K->63K(448K), 0.0007384 secs] 1292K->1274K(1048512K), 0.0007762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.155: [GC (Allocation Failure) 0.155: [DefNew: 447K->63K(448K), 0.0006256 secs] 1658K->1651K(1048512K), 0.0006651 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.164: [GC (Allocation Failure) 0.164: [DefNew: 447K->63K(448K), 0.0006290 secs] 2035K->2027K(1048512K), 0.0006940 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.172: [GC (Allocation Failure) 0.172: [DefNew: 447K->63K(448K), 0.0008791 secs] 2411K->2404K(1048512K), 0.0009326 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.182: [GC (Allocation Failure) 0.182: [DefNew: 447K->63K(448K), 0.0006340 secs] 2788K->2786K(1048512K), 0.0006704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.191: [GC (Allocation Failure) 0.191: [DefNew: 447K->63K(448K), 0.0008415 secs] 3170K->3164K(1048512K), 0.0008935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.199: [GC (Allocation Failure) 0.199: [DefNew: 447K->63K(448K), 0.0009991 secs] 3548K->3540K(1048512K), 0.0010642 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
0.209: [GC (Allocation Failure) 0.209: [DefNew: 447K->63K(448K), 0.0007495 secs] 3924K->3915K(1048512K), 0.0008000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.217: [GC (Allocation Failure) 0.217: [DefNew: 447K->63K(448K), 0.0008508 secs] 4299K->4292K(1048512K), 0.0008902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.227: [GC (Allocation Failure) 0.227: [DefNew: 447K->64K(448K), 0.0008602 secs] 4676K->4675K(1048512K), 0.0009201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.236: [GC (Allocation Failure) 0.236: [DefNew: 448K->64K(448K), 0.0008362 secs] 5059K->5055K(1048512K), 0.0008936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
